NAME,SYMBOL
FSN E-Commerce Ventures Ltd.,NYKAA
Federal Bank Ltd.,FEDERALBNK
Fortis Healthcare Ltd.,FORTIS
GE Vernova T&D India Ltd.,GVT&D
GMR Airports Ltd.,GMRAIRPORT
Glenmark Pharmaceuticals Ltd.,GLENMARK
Godfrey Phillips India Ltd.,GODFRYPHLP
Godrej Properties Ltd.,GODREJPROP
Havells India Ltd.,HAVELLS
Hero MotoCorp Ltd.,HEROMOTOCO
Hindustan Petroleum Corporation Ltd.,HINDPETRO
Hitachi Energy India Ltd.,POWERINDIA
Housing & Urban Development Corporation Ltd.,HUDCO
ICICI Lombard General Insurance Company Ltd.,ICICIGI
ICICI Prudential Asset Management Company Ltd.,ICICIAMC
IDFC First Bank Ltd.,IDFCFIRSTB
Indian Bank,INDIANB
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC
Indian Renewable Energy Development Agency Ltd.,IREDA
Indus Towers Ltd.,INDUSTOWER
IndusInd Bank Ltd.,INDUSINDBK
Info Edge (India) Ltd.,NAUKRI
JSW Energy Ltd.,JSWENERGY
Jubilant Foodworks Ltd.,JUBLFOOD
KEI Industries Ltd.,KEI
KPIT Technologies Ltd.,KPITTECH
Kalyan Jewellers India Ltd.,KALYANKJIL
L&T Finance Ltd.,LTF
LG Electronics India Ltd.,LGEINDIA
LIC Housing Finance Ltd.,LICHSGFIN
Laurus Labs Ltd.,LAURUSLABS
Lenskart Solutions Ltd.,LENSKART
Lupin Ltd.,LUPIN
MRF Ltd.,MRF
Mahindra & Mahindra Financial Services Ltd.,M&MFIN
Mankind Pharma Ltd.,MANKIND
Marico Ltd.,MARICO
Max Financial Services Ltd.,MFSL
Motilal Oswal Financial Services Ltd.,MOTILALOFS
MphasiS Ltd.,MPHASIS
Multi Commodity Exchange of India Ltd.,MCX
NHPC Ltd.,NHPC
NMDC Ltd.,NMDC
National Aluminium Co. Ltd.,NATIONALUM
Oberoi Realty Ltd.,OBEROIRLTY
Oil India Ltd.,OIL
One 97 Communications Ltd.,PAYTM
Oracle Financial Services Software Ltd.,OFSS
PB Fintech Ltd.,POLICYBZR
PI Industries Ltd.,PIIND
Page Industries Ltd.,PAGEIND
Patanjali Foods Ltd.,PATANJALI
Persistent Systems Ltd.,PERSISTENT
Phoenix Mills Ltd.,PHOENIXLTD
Polycab India Ltd.,POLYCAB
Premier Energies Ltd.,PREMIERENE
Prestige Estates Projects Ltd.,PRESTIGE
Radico Khaitan Ltd,RADICO
Rail Vikas Nigam Ltd.,RVNL
SBI Cards and Payment Services Ltd.,SBICARD
SRF Ltd.,SRF
Steel Authority of India Ltd.,SAIL
Supreme Industries Ltd.,SUPREMEIND
Suzlon Energy Ltd.,SUZLON
Swiggy Ltd.,SWIGGY
Tata Communications Ltd.,TATACOMM
Tata Elxsi Ltd.,TATAELXSI
Tata Investment Corporation Ltd.,TATAINVEST
Tube Investments of India Ltd.,TIINDIA
UPL Ltd.,UPL
Vishal Mega Mart Ltd.,VMM
Vodafone Idea Ltd.,IDEA
Voltas Ltd.,VOLTAS
Waaree Energies Ltd.,WAAREEENER
Yes Bank Ltd.,YESBANK
3M India Ltd.,3MINDIA
ACC Ltd.,ACC
ACME Solar Holdings Ltd.,ACMESOLAR
AIA Engineering Ltd.,AIAENG
AWL Agri Business Ltd.,AWL
Aadhar Housing Finance Ltd.,AADHARHFC
Aarti Industries Ltd.,AARTIIND
Aavas Financiers Ltd.,AAVAS
Abbott India Ltd.,ABBOTINDIA
Action Construction Equipment Ltd.,ACE
Acutaas Chemicals Ltd.,ACUTAAS
Aditya Birla Fashion and Retail Ltd.,ABFRL
Aditya Birla Lifestyle Brands Ltd.,ABLBL
Aditya Birla Real Estate Ltd.,ABREL
Aditya Birla Sun Life AMC Ltd.,ABSLAMC
Aditya Infotech Ltd.,CPPLUS
Aegis Logistics Ltd.,AEGISLOG
Aegis Vopak Terminals Ltd.,AEGISVOPAK
Afcons Infrastructure Ltd.,AFCONS
Affle 3i Ltd.,AFFLE
Ajanta Pharmaceuticals Ltd.,AJANTPHARM
Allied Blenders and Distillers Ltd.,ABDL
Amara Raja Energy & Mobility Ltd.,ARE&M
Amber Enterprises India Ltd.,AMBER
Anand Rathi Wealth Ltd.,ANANDRATHI
Anant Raj Ltd.,ANANTRAJ
Angel One Ltd.,ANGELONE
Anthem Biosciences Ltd.,ANTHEM
Anupam Rasayan India Ltd.,ANURAS
Apar Industries Ltd.,APARINDS
Apollo Tyres Ltd.,APOLLOTYRE
Aptus Value Housing Finance India Ltd.,APTUS
Asahi India Glass Ltd.,ASAHIINDIA
Aster DM Quality Care Ltd.,ASTERDM
Ather Energy Ltd.,ATHERENERG
Atul Ltd.,ATUL
Authum Investment & Infrastructure Ltd.,AIIL
BEML Ltd.,BEML
BLS International Services Ltd.,BLS
Bajaj Housing Finance Ltd.,BAJAJHFL
Balkrishna Industries Ltd.,BALKRISIND
Balrampur Chini Mills Ltd.,BALRAMCHIN
Bandhan Bank Ltd.,BANDHANBNK
Bank of Maharashtra,MAHABANK
Bata India Ltd.,BATAINDIA
Bayer Cropscience Ltd.,BAYERCROP
Belrise Industries Ltd.,BELRISE
Berger Paints India Ltd.,BERGEPAINT
Bharti Hexacom Ltd.,BHARTIHEXA
Bikaji Foods International Ltd.,BIKAJI
Birlasoft Ltd.,BSOFT
Blue Dart Express Ltd.,BLUEDART
Blue Jet Healthcare Ltd.,BLUEJET
Bombay Burmah Trading Corporation Ltd.,BBTC
Brainbees Solutions Ltd.,FIRSTCRY
Brigade Enterprises Ltd.,BRIGADE
C.E. Info Systems Ltd.,MAPMYINDIA
CCL Products (I) Ltd.,CCL
CESC Ltd.,CESC
CIE Automotive India Ltd.,CIEINDIA
CRISIL Ltd.,CRISIL
Can Fin Homes Ltd.,CANFINHOME
Canara HSBC Life Insurance Company Ltd.,CANHLIFE
Caplin Point Laboratories Ltd.,CAPLIPOINT
Capri Global Capital Ltd.,CGCL
Carborundum Universal Ltd.,CARBORUNIV
Cartrade Tech Ltd.,CARTRADE
Castrol India Ltd.,CASTROLIND
Ceat Ltd.,CEATLTD
Cemindia Projects Ltd.,CEMPRO
Central Bank of India,CENTRALBK
Central Depository Services (India) Ltd.,CDSL
Chalet Hotels Ltd.,CHALET
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT
Chennai Petroleum Corporation Ltd.,CHENNPETRO
Choice International Ltd.,CHOICEIN
Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG
City Union Bank Ltd.,CUB
Clean Science and Technology Ltd.,CLEAN
Cohance Lifesciences Ltd.,COHANCE
Computer Age Management Services Ltd.,CAMS
Concord Biotech Ltd.,CONCORDBIO
Craftsman Automation Ltd.,CRAFTSMAN
CreditAccess Grameen Ltd.,CREDITACC
Crompton Greaves Consumer Electricals Ltd.,CROMPTON
Cyient Ltd.,CYIENT
DCM Shriram Ltd.,DCMSHRIRAM
DOMS Industries Ltd.,DOMS
Dalmia Bharat Ltd.,DALBHARAT
Data Patterns (India) Ltd.,DATAPATTNS
Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT
Deepak Nitrite Ltd.,DEEPAKNTR
Delhivery Ltd.,DELHIVERY
Devyani International Ltd.,DEVYANI
Dr. Lal Path Labs Ltd.,LALPATHLAB
E.I.D. Parry (India) Ltd.,EIDPARRY
EIH Ltd.,EIHOTEL
Elecon Engineering Co. Ltd.,ELECON
Elgi Equipments Ltd.,ELGIEQUIP
Emami Ltd.,EMAMILTD
Emcure Pharmaceuticals Ltd.,EMCURE
Emmvee Photovoltaic Power Ltd.,EMMVEE
Endurance Technologies Ltd.,ENDURANCE
Engineers India Ltd.,ENGINERSIN
Eris Lifesciences Ltd.,ERIS
Escorts Kubota Ltd.,ESCORTS
Fertilisers and Chemicals Travancore Ltd.,FACT
Finolex Cables Ltd.,FINCABLES
Firstsource Solutions Ltd.,FSL
Five-Star Business Finance Ltd.,FIVESTAR
Force Motors Ltd.,FORCEMOT
Gabriel India Ltd.,GABRIEL
Gallantt Ispat Ltd.,GALLANTT
Garden Reach Shipbuilders & Engineers Ltd.,GRSE
General Insurance Corporation of India,GICRE
Gillette India Ltd.,GILLETTE
Gland Pharma Ltd.,GLAND
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO
Global Health Ltd.,MEDANTA
Go Digit General Insurance Ltd.,GODIGIT
Godawari Power & Ispat Ltd.,GPIL
Godrej Industries Ltd.,GODREJIND
Granules India Ltd.,GRANULES
Graphite India Ltd.,GRAPHITE
Gravita India Ltd.,GRAVITA
Great Eastern Shipping Co. Ltd.,GESHIP
Gujarat Fluorochemicals Ltd.,FLUOROCHEM
Gujarat Mineral Development Corporation Ltd.,GMDCLTD
H.E.G. Ltd.,HEG
HBL Engineering Ltd.,HBLENGINE
HDB Financial Services Ltd.,HDBFS
HFCL Ltd.,HFCL
Hexaware Technologies Ltd.,HEXT
Himadri Speciality Chemical Ltd.,HSCL
Hindustan Copper Ltd.,HINDCOPPER
Home First Finance Company India Ltd.,HOMEFIRST
Honasa Consumer Ltd.,HONASA
Honeywell Automation India Ltd.,HONAUT
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI
IDBI Bank Ltd.,IDBI
IFCI Ltd.,IFCI
IIFL Finance Ltd.,IIFL
IRB Infrastructure Developers Ltd.,IRB
IRCON International Ltd.,IRCON
ITC Hotels Ltd.,ITCHOTELS
ITI Ltd.,ITI
Indegene Ltd.,INDGN
India Cements Ltd.,INDIACEM
Indiamart Intermesh Ltd.,INDIAMART
Indian Energy Exchange Ltd.,IEX
Indian Overseas Bank,IOB
Indraprastha Gas Ltd.,IGL
Inox Wind Ltd.,INOXWIND
Intellect Design Arena Ltd.,INTELLECT
International Gemological Institute Ltd.,IGIL
Inventurus Knowledge Solutions Ltd.,IKS
Ipca Laboratories Ltd.,IPCALAB
J.K. Cement Ltd.,JKCEMENT
JBM Auto Ltd.,JBMA
JK Tyre & Industries Ltd.,JKTYRE
JM Financial Ltd.,JMFINANCIL
JSW Cement Ltd.,JSWCEMENT
JSW Dulux Ltd.,JSWDULUX
JSW Infrastructure Ltd.,JSWINFRA
Jain Resource Recycling Ltd.,JAINREC
Jaiprakash Power Ventures Ltd.,JPPOWER
Jammu & Kashmir Bank Ltd.,J&KBANK
Jindal Saw Ltd.,JINDALSAW
Jindal Stainless Ltd.,JSL
Jubilant Ingrevia Ltd.,JUBLINGREA
Jubilant Pharmova Ltd.,JUBLPHARMA
Jupiter Wagons Ltd.,JWL
Jyoti CNC Automation Ltd.,JYOTICNC
K.P.R. Mill Ltd.,KPRMILL
Kajaria Ceramics Ltd.,KAJARIACER
Kalpataru Projects International Ltd.,KPIL
Karur Vysya Bank Ltd.,KARURVYSYA
Kaynes Technology India Ltd.,KAYNES
Kec International Ltd.,KEC
Kfin Technologies Ltd.,KFINTECH
Kirloskar Oil Eng Ltd.,KIRLOSENG
Krishna Institute of Medical Sciences Ltd.,KIMS
L&T Technology Services Ltd.,LTTS
LT Foods Ltd.,LTFOODS
Latent View Analytics Ltd.,LATENTVIEW
Leela Palaces Hotels & Resorts Ltd.,THELEELA
Lemon Tree Hotels Ltd.,LEMONTREE
Life Insurance Corporation of India,LICI
Linde India Ltd.,LINDEINDIA
Lloyds Metals And Energy Ltd.,LLOYDSME
MMTC Ltd.,MMTC
Mahanagar Gas Ltd.,MGL
Manappuram Finance Ltd.,MANAPPURAM
Mangalore Refinery & Petrochemicals Ltd.,MRPL
Meesho Ltd.,MEESHO
Minda Corporation Ltd.,MINDACORP
Motherson Sumi Wiring India Ltd.,MSUMI
NATCO Pharma Ltd.,NATCOPHARM
NBCC (India) Ltd.,NBCC
NCC Ltd.,NCC
NLC India Ltd.,NLCINDIA
NMDC Steel Ltd.,NSLNISP
NTPC Green Energy Ltd.,NTPCGREEN
Narayana Hrudayalaya Ltd.,NH
Nava Ltd.,NAVA
Navin Fluorine International Ltd.,NAVINFLUOR
Netweb Technologies India Ltd.,NETWEB
Neuland Laboratories Ltd.,NEULANDLAB
Newgen Software Technologies Ltd.,NEWGEN
Nippon Life India Asset Management Ltd.,NAM-INDIA
Niva Bupa Health Insurance Company Ltd.,NIVABUPA
Nuvama Wealth Management Ltd.,NUVAMA
Nuvoco Vistas Corporation Ltd.,NUVOCO
Ola Electric Mobility Ltd.,OLAELEC
Olectra Greentech Ltd.,OLECTRA
Onesource Specialty Pharma Ltd.,ONESOURCE
PCBL Chemical Ltd.,PCBL
PG Electroplast Ltd.,PGEL
PNB Housing Finance Ltd.,PNBHOUSING
PTC Industries Ltd.,PTCIL
PVR INOX Ltd.,PVRINOX
Paradeep Phosphates Ltd.,PARADEEP
Petronet LNG Ltd.,PETRONET
Pfizer Ltd.,PFIZER
Physicswallah Ltd.,PWL
Pine Labs Ltd.,PINELABS
Piramal Finance Ltd.,PIRAMALFIN
Piramal Pharma Ltd.,PPLPHARMA
Poly Medicure Ltd.,POLYMED
Poonawalla Fincorp Ltd.,POONAWALLA
Prime Focus Ltd.,PFOCUS
R R Kabel Ltd.,RRKABEL
RBL Bank Ltd.,RBLBANK
RHI MAGNESITA INDIA LTD.,RHIM
RITES Ltd.,RITES
Railtel Corporation Of India Ltd.,RAILTEL
Rainbow Childrens Medicare Ltd.,RAINBOW
Ramkrishna Forgings Ltd.,RKFORGE
Redington Ltd.,REDINGTON
Reliance Power Ltd.,RPOWER
SBFC Finance Ltd.,SBFC
SJVN Ltd.,SJVN
Sagility Ltd.,SAGILITY
Sai Life Sciences Ltd.,SAILIFE
Sammaan Capital Ltd.,SAMMAANCAP
Sapphire Foods India Ltd.,SAPPHIRE
Sarda Energy and Minerals Ltd.,SARDAEN
Saregama India Ltd,SAREGAMA
Schaeffler India Ltd.,SCHAEFFLER
Schneider Electric Infrastructure Ltd.,SCHNEIDER
Shipping Corporation of India Ltd.,SCI
Shyam Metalics and Energy Ltd.,SHYAMMETL
Signatureglobal (India) Ltd.,SIGNATURE
Sobha Ltd.,SOBHA
Sona BLW Precision Forgings Ltd.,SONACOMS
Sonata Software Ltd.,SONATSOFTW
Star Health and Allied Insurance Company Ltd.,STARHEALTH
Sumitomo Chemical India Ltd.,SUMICHEM
Sun TV Network Ltd.,SUNTV
Sundaram Finance Ltd.,SUNDARMFIN
Supreme Petrochem Ltd.,SPLPETRO
Swan Corp Ltd.,SWANCORP
Syngene International Ltd.,SYNGENE
Syrma SGS Technology Ltd.,SYRMA
TBO Tek Ltd.,TBOTEK
Tata Chemicals Ltd.,TATACHEM
Tata Technologies Ltd.,TATATECH
Tata Teleservices (Maharashtra) Ltd.,TTML
Techno Electric & Engineering Company Ltd.,TECHNOE
Tega Industries Ltd.,TEGA
Tejas Networks Ltd.,TEJASNET
Tenneco Clean Air India Ltd.,TENNIND
The New India Assurance Company Ltd.,NIACL
The Ramco Cements Ltd.,RAMCOCEM
Thermax Ltd.,THERMAX
Timken India Ltd.,TIMKEN
Titagarh Rail Systems Ltd.,TITAGARH
Torrent Power Ltd.,TORNTPOWER
Transformers And Rectifiers (India) Ltd.,TARIL
Travel Food Services Ltd.,TRAVELFOOD
Trident Ltd.,TRIDENT
Triveni Turbine Ltd.,TRITURBINE
UCO Bank,UCOBANK
UNO Minda Ltd.,UNOMINDA
UTI Asset Management Company Ltd.,UTIAMC
United Breweries Ltd.,UBL
Urban Company Ltd.,URBANCO
Usha Martin Ltd.,USHAMART
Vardhman Textiles Ltd.,VTL
Vijaya Diagnostic Centre Ltd.,VIJAYA
Welspun Corp Ltd.,WELCORP
Welspun Living Ltd.,WELSPUNLIV
Whirlpool of India Ltd.,WHIRLPOOL
Wockhardt Ltd.,WOCKPHARMA
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA
Zee Entertainment Enterprises Ltd.,ZEEL
Zen Technologies Ltd.,ZENTEC
Zensar Technolgies Ltd.,ZENSARTECH
Zydus Wellness Ltd.,ZYDUSWELL
eClerx Services Ltd.,ECLERX
